IT-MBo2009	2009	2009	46.01468	11.045831	1	0.5
IT-MBo2010	2010	2010	46.01468	11.045831	1	0.5
IT-MBo2011	2011	2011	46.01468	11.045831	1	0.5
IT-MBo2012	2012	2012	46.01468	11.045831	1	0.5
IT-MBo2013	2013	2013	46.01468	11.045831	1	0.5
IT-MBo2014	2014	2014	46.01468	11.045831	1	0.5
IT-MBo2015	2015	2015	46.01468	11.045831	1	0.5
IT-MBo2016	2016	2016	46.01468	11.045831	1	0.5
IT-MBo2017	2017	2017	46.01468	11.045831	1	0.5
IT-MBo2018	2018	2018	46.01468	11.045831	1	0.5
IT-MBo2019	2019	2019	46.01468	11.045831	1	0.5
IT-MBo2020	2020	2020	46.01468	11.045831	1	0.5
